Title                                    , Released year, Duration, Genre          , Language       , Description
MS Dhoni: The Untold Story               ,          2016, 2h 57m  , Biopic         , Biopic         , "A tell-all tale about the life and times of Indian cricketer Mahendra Singh Dhoni, mapping his journey; from a ticket collector to a celebrated cricketer."
Neerja                                   ,          2016, 1h 56m  , Biopic         , Biopic         , "A biopic on the brave Neerja Bhanot, the head purser had sacrificed her life for the safety of her passengers when terrorists hijacked Pan Am Flight 73."
Hashtag Prem                             ,          2021, 1h 51m  , Romance        , Romance        , "Sanika, a free-spirited girl, gets caught in the mist of love after she befriends JD online. To meet him, she travels to Goa, which changes her life forever."
Khatarnak Policewala                     ,          2017, 2h 5m   , Action         , Action         , Assistant Commissioner Vetrimaaran investigates a series of murders when a priest is found dead and a woman goes missing under mysterious circumstances.
Panga                                    ,          2020, 2h 11m  , Sports         , Sports         , "A forgotten Kabaddi world champion catalyzes an inner desire to give a new meaning to her existing role as a wife and mother, and makes a comeback."
MS Dhoni: The Untold Story               ,          2016, 2h 57m  , Biopic         , Biopic         , How did India get one of its favourite cricketers? Watch the life and struggles of MS Dhoni in his journey to become a respected sportsperson in this biopic.
Tubelight                                ,          2017, 2h 10m  , Drama          , Drama          , "Taking us back to the 1962 Sino-Indian War; this is the story of a disabled man, popularly known as Tubelight, his love for his family and self-belief."
Ungalukkaga Oruvan                       ,          2019, 2h 58m  , Action         , Action         , "When a software company CEO, Rishi, returns to India and reunites with his former classmate, little does he know that things are way worse than they look."
Veerappan                                ,          2016, 1h 50m  , Action         , Action         , "Based on the life of infamous sandalwood dacoit, Veerappan, the film charts the events leading to Operation Cocoon, his ultimate downfall."
K.G.F                                    ,          2018, 2h 23m  , Action         , Action         , "Set in the 70s, an ambitious young man sets out to fulfil a promise he made to his dying mother by bringing the owner of a corrupt gold mine to book."
Khaidi No. 150                           ,          2017, 2h 17m  , Action         , Action         , "Seenu escapes from prison and sends his lookalike Shankar in his place. But when he realises that Shankar was helping the farmers, he decides to fight for them."
Ready                                    ,          2011, 2h 18m  , Comedy         , Comedy         , "Prem and his family devise a strategy to reform his girlfriend, Sanjana’s mafia uncles who want to inherit her wealth."
Bodyguard                                ,          2011, 2h 5m   , Action         , Action         , "A bodyguard falls in love with a woman over the phone, without realising that she is actually the woman he is protecting."
Prati Roju Pandage                       ,          2019, 2h 25m  , Comedy         , Comedy         , "In this celebration of life and bonding, a grandson decides to make his aging grandfather get the most out of his remaining sunset years."
